Route ID,Stop ID,Stop Name,Latitude,Longitude
MTA%20NYCT_Q2,MTA_904250,BELMONT PARK RACETRACK/UBS ARENA,40.713145,-73.728283
MTA%20NYCT_Q3,MTA_500002,165 ST/HILLSIDE AV,40.709146,-73.797156
MTA%20NYCT_Q3,MTA_500003,HILLSIDE AV/169 ST,40.710593,-73.793092
MTA%20NYCT_Q3,MTA_500004,HILLSIDE AV/171 ST,40.71144,-73.790887
MTA%20NYCT_Q3,MTA_500008,HILLSIDE AV/182 PL,40.713574,-73.77985
MTA%20NYCT_Q3,MTA_500009,HILLSIDE AV/184 ST,40.714085,-73.777516
MTA%20NYCT_Q3,MTA_500010,HILLSIDE AV/187 ST,40.714481,-73.775904
MTA%20NYCT_Q3,MTA_500081,HILLSIDE AV/187 ST,40.714768,-73.775267
MTA%20NYCT_Q3,MTA_500082,HILLSIDE AV/DALNY RD,40.714049,-73.778431
MTA%20NYCT_Q3,MTA_500099,187 PL/90 AV,40.712532,-73.772917
MTA%20NYCT_Q3,MTA_500100,187 PL/JAMAICA AV,40.710441,-73.771842
MTA%20NYCT_Q3,MTA_500101,HOLLIS AV/190 ST,40.709793,-73.769106
MTA%20NYCT_Q3,MTA_500145,WOODHULL AV/JAMAICA AV,40.71074,-73.770477
MTA%20NYCT_Q3,MTA_500146,188 ST/90 AV,40.712703,-73.771888
MTA%20NYCT_Q3,MTA_500147,188 ST/89 AV,40.713832,-73.772646
MTA%20NYCT_Q3,MTA_500157,FARMERS BLVD/ROCKAWAY BLVD,40.659841,-73.773244
MTA%20NYCT_Q3,MTA_500158,FARMERS BLVD/147 AV,40.66154,-73.770567
MTA%20NYCT_Q3,MTA_500159,FARMERS BLVD/176 ST,40.66237,-73.769808
MTA%20NYCT_Q3,MTA_500161,FARMERS BLVD/145 RD,40.665917,-73.767388
MTA%20NYCT_Q3,MTA_500163,FARMERS BLVD/144 AV,40.668397,-73.766208
MTA%20NYCT_Q3,MTA_500164,FARMERS BLVD/142 AV,40.670556,-73.764996
MTA%20NYCT_Q3,MTA_500165,FARMERS BLVD/140 AV,40.671179,-73.764637
MTA%20NYCT_Q3,MTA_500166,FARMERS BLVD/182 ST,40.673156,-73.763855
MTA%20NYCT_Q3,MTA_500167,FARMERS BLVD/WESTGATE ST,40.674679,-73.763625
MTA%20NYCT_Q3,MTA_500168,FARMERS BLVD/134 AV,40.676185,-73.763441
MTA%20NYCT_Q3,MTA_500169,FARMERS BLVD/BENNETT CT,40.678499,-73.762066
MTA%20NYCT_Q3,MTA_500170,FARMERS BLVD/MERRICK BLVD,40.680279,-73.761324
MTA%20NYCT_Q3,MTA_500171,FARMERS BLVD/122 AV,40.683711,-73.76037
MTA%20NYCT_Q3,MTA_500182,FARMERS BLVD/112 AV,40.700813,-73.764254
MTA%20NYCT_Q3,MTA_500183,FARMERS BLVD/111 AV,40.701992,-73.765629
MTA%20NYCT_Q3,MTA_500184,FARMERS BLVD/109 AV,40.703714,-73.766632
MTA%20NYCT_Q3,MTA_500187,FARMERS BLVD/HOLLIS AV,40.709363,-73.768112
MTA%20NYCT_Q3,MTA_500197,HILLSIDE AV/EDGERTON BLVD,40.712223,-73.785799
MTA%20NYCT_Q3,MTA_500209,HILLSIDE AV/178 ST,40.712393,-73.784555
MTA%20NYCT_Q3,MTA_500216,FARMERS BLVD/HENDERSON AV,40.708473,-73.767996
MTA%20NYCT_Q3,MTA_500220,FARMERS BLVD/JORDAN AV,40.701694,-73.765492
MTA%20NYCT_Q3,MTA_500221,FARMERS BLVD/KEESEVILLE AV,40.700516,-73.764139
MTA%20NYCT_Q3,MTA_500222,FARMERS BLVD/113 AV,40.699235,-73.76302
MTA%20NYCT_Q3,MTA_500231,FARMERS BLVD/121 AV,40.685153,-73.760845
MTA%20NYCT_Q3,MTA_500235,FARMERS BLVD/132 AV,40.678028,-73.76263
MTA%20NYCT_Q3,MTA_500236,FARMERS BLVD/133 RD,40.676427,-73.763501
MTA%20NYCT_Q3,MTA_500237,FARMERS BLVD/WESTGATE ST,40.674419,-73.763792
MTA%20NYCT_Q3,MTA_500238,FARMERS BLVD/138 AV,40.672912,-73.764133
MTA%20NYCT_Q3,MTA_500239,FARMERS BLVD/140 AV,40.671153,-73.764837
MTA%20NYCT_Q3,MTA_500241,FARMERS BLVD/143 RD,40.668874,-73.766166
MTA%20NYCT_Q3,MTA_500242,FARMERS BLVD/144 RD,40.667577,-73.766798
MTA%20NYCT_Q3,MTA_500243,FARMERS BLVD/145 RD,40.664994,-73.76809
MTA%20NYCT_Q3,MTA_500244,FARMERS BLVD/177 PL,40.663576,-73.76896
MTA%20NYCT_Q3,MTA_500245,FARMERS BLVD/177 ST,40.662626,-73.769832
MTA%20NYCT_Q3,MTA_500246,FARMERS BLVD/175 ST,40.661088,-73.771024
MTA%20NYCT_Q3,MTA_500247,FARMERS BLVD/ROCKAWAY BLVD,40.659805,-73.773671
MTA%20NYCT_Q3,MTA_501414,HILLSIDE AV/MIDLAND PKWY,40.71262,-73.783923
MTA%20NYCT_Q3,MTA_501419,HILLSIDE AV/169 ST,40.71071,-73.793147
MTA%20NYCT_Q3,MTA_503195,HILLSIDE AV/172 ST,40.711809,-73.790139
MTA%20NYCT_Q3,MTA_503676,FARMERS BLVD/118 RD,40.688641,-73.762105
MTA%20NYCT_Q3,MTA_503696,NORTH BOUNDARY RD/KOREAN AIRLINE,40.661633,-73.78984
MTA%20NYCT_Q3,MTA_503697,NORTH BOUNDARY RD/FEDERAL EXPRESS,40.662902,-73.784883
MTA%20NYCT_Q3,MTA_503698,NORTH BOUNDARY RD/NORTH HANGAR RD,40.66037,-73.778685
MTA%20NYCT_Q3,MTA_503700,NORTH BOUNDARY RD/HALMAR CO,40.660667,-73.778684
MTA%20NYCT_Q3,MTA_503701,NORTH BOUNDARY RD/FEDERAL EXPRESS,40.662682,-73.783262
MTA%20NYCT_Q3,MTA_503702,NORTH BOUNDARY RD/KOREAN AIRLINE,40.661641,-73.790128
MTA%20NYCT_Q3,MTA_503705,148 ST/SOUTH CARGO RD,40.654762,-73.791279
MTA%20NYCT_Q3,MTA_503756,FARMERS BLVD/121 AV,40.685419,-73.760725
MTA%20NYCT_Q3,MTA_503757,FARMERS BLVD/120 AV,40.686778,-73.761192
MTA%20NYCT_Q3,MTA_503758,FARMERS BLVD/119 AV,40.688575,-73.761903
MTA%20NYCT_Q3,MTA_503759,FARMERS BLVD/118 AV,40.690546,-73.762145
MTA%20NYCT_Q3,MTA_503760,FARMERS BLVD/116 AV,40.69387,-73.762166
MTA%20NYCT_Q3,MTA_503761,FARMERS BLVD/115 RD,40.695519,-73.761522
MTA%20NYCT_Q3,MTA_503763,FARMERS BLVD/TURIN DR,40.692779,-73.762545
MTA%20NYCT_Q3,MTA_503764,FARMERS BLVD/NELLIS ST,40.683676,-73.760558
MTA%20NYCT_Q3,MTA_503770,FARMERS BLVD/QUENCER RD,40.694863,-73.761978
MTA%20NYCT_Q3,MTA_503771,FARMERS BLVD/114 RD,40.697026,-73.762003
MTA%20NYCT_Q3,MTA_503772,FARMERS BLVD/114 DR,40.696976,-73.761772
MTA%20NYCT_Q3,MTA_503774,NORTH BOUNDARY RD/CHINA CARGO AIRLINE,40.659403,-73.775152
MTA%20NYCT_Q3,MTA_503779,FARMERS BLVD/145 DR,40.664368,-73.768265
MTA%20NYCT_Q3,MTA_503784,FARMERS BLVD/113 RD,40.699096,-73.762805
MTA%20NYCT_Q3,MTA_503793,130 PL/BERGEN RD,40.65988,-73.810614
MTA%20NYCT_Q3,MTA_503802,130 PL/BERGEN RD,40.659139,-73.810845
MTA%20NYCT_Q3,MTA_503803,130 PL/HANGAR RD STOP 20A,40.657048,-73.810615
MTA%20NYCT_Q3,MTA_503804,130 PL/EAST HANGAR RD STOP 18,40.654696,-73.809273
MTA%20NYCT_Q3,MTA_503805,SOUTH VAN WYCK EXPWY SERVICE RD/BUILDING 14,40.652513,-73.806958
MTA%20NYCT_Q3,MTA_503806,SOUTH VAN WYCK EXPWY SERVICE RD/BUILDING 23,40.64943,-73.804762
MTA%20NYCT_Q3,MTA_503890,FARMERS BLVD/LINDEN BLVD,40.691988,-73.762313
MTA%20NYCT_Q3,MTA_503913,FARMERS BLVD/LINDEN BLVD,40.691427,-73.762442
MTA%20NYCT_Q3,MTA_503996,VAN WYCK NORTH SERVICE RD/STOP 11 BUILDING 23,40.649784,-73.803746
MTA%20NYCT_Q3,MTA_503997,VAN WYCK NORTH SERVICE RD/STOP 13 BUILDING 21,40.65293,-73.805924
MTA%20NYCT_Q3,MTA_503998,VAN WYCK NORTH SERVICE RD/STOP 17 AMERICAN FREIGHT,40.657512,-73.805394
MTA%20NYCT_Q3,MTA_503999,VAN WYCK SOUTH SERVICE RD/BUILDING 90,40.644892,-73.799723
MTA%20NYCT_Q3,MTA_504009,FARMERS BLVD/105 AV,40.705803,-73.767046
MTA%20NYCT_Q3,MTA_504019,148 ST/CENTER CARGO RD,40.657854,-73.793701
MTA%20NYCT_Q3,MTA_504069,FARMERS BLVD/120 AV,40.686084,-73.761148
MTA%20NYCT_Q3,MTA_504441,148 ST/150 AV,40.661033,-73.792887
MTA%20NYCT_Q3,MTA_504456,FARMERS BL/LUDLUM AV,40.70534,-73.767109
MTA%20NYCT_Q3,MTA_504457,FARMERS BLVD/104 AV,40.706402,-73.767354
MTA%20NYCT_Q3,MTA_504459,FARMERS BLVD/103 AV,40.707638,-73.767577
MTA%20NYCT_Q3,MTA_504460,FARMERS BLVD/142 AV,40.67028,-73.765368
MTA%20NYCT_Q3,MTA_504471,165 ST/TERMINAL,40.707635,-73.795565
MTA%20NYCT_Q3,MTA_504486,FARMERS BLVD/LIBERTY AV,40.703047,-73.766695
MTA%20NYCT_Q3,MTA_504538,FARMERS BLVD/MARS PL,40.681539,-73.761132
MTA%20NYCT_Q3,MTA_504539,FARMERS BLVD/MERRICK BLVD,40.679407,-73.761795
MTA%20NYCT_Q3,MTA_505068,WOODHULL AV/190 ST,40.710494,-73.769468
MTA%20NYCT_Q3,MTA_505233,HILLSIDE AV/AVON ST,40.713535,-73.780431
MTA%20NYCT_Q3,MTA_505284,HILLSIDE AV/175 ST,40.711852,-73.786805
MTA%20NYCT_Q3,MTA_550285,VAN WYCK NORTH SERVICE RD/STOP 15 BUILDING 122,40.654709,-73.806686
MTA%20NYCT_Q3,MTA_804052,165 ST/TERMINAL,40.707663,-73.795217
MTA%20NYCT_Q3,MTA_904251,JFK AIRPORT/TERMINAL 8,40.646928,-73.788956
